ID,開始時刻,完了時刻,メール,名前,あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),あなたの学年を教えてください,あなたの学校種を教えてください,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください(例:1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0)","LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)でどれくらい利用していますか","LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)","今年度、 LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの程度使いこなすことができましたか",BookRollでよく使う機能を選んでください(複数選択(せんたく)可),分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),教材や問題を見るため,自分の解答や学び方を振(ふ)り返るため,クラスの人の考えを参考にするため,クラスの人の学び方を参考にするため,AIによる問題推薦(すいせん)やアドバイスを受けるため,理解度が高まったと感じる,勉強を効率よく短時間で行えるようになった,根拠(こんきょ)に基づいた勉強計画や復習を行えるようになった,分析(ぶんせき)ツールを使用することで自分の学習方法に変化が生じた,自分に合った学びを実現する助けになったと感じる,自分で計画を立てたり自分の考えを広めたり深めたりして学ぶ助けになったと感じる,他の人と協力しながら学ぶ助けになったと感じる,自分で課題を設定して追究していく学びの助けになったと感じる,使い方・操作(そうさ)手順がわかりやすい,LEAFシステムに満足している,自由記述,宿題を行う時間    1週間あたり【   】時間 (※半角数字で入力してください),予習・復習を行う時間  1週間あたり【   】時間 (※半角数字で入力してください),学校の勉強以外を行う時間  1週間あたり【   】時間 (※半角数字で入力してください),自分の勉強の仕方を振(ふ)り返る時間  1週間あたり【   】時間 (※半角数字で入力してください),勉強の計画を立てる時間  1週間あたり【   】時間 (※半角数字で入力してください),学校が、タブレットなどを使ってみんなが勉強した記録を調べて、一人一人に合った勉強の仕方を教えることについてどう思いますか?,学校が、タブレットなどを使ってみんなが勉強した記録を名前は分からない形で集計して、授業をよくすることについてどう思いますか?,"学校が、タブレットなどを使ってみんなの勉強した記録を調べて,一人一人に合った進学や将来(しょうらい)の仕事についてのアドバイスをすることをどう思いますか?",アプリの会社が、タブレットなどを使って勉強した記録を調べて、一人一人に合った問題を出題したりアドバイスをすることについてどう思いますか?,"アプリの会社が、タブレットなどを使って勉強した記録を調べて,名前は分からない形で集めて、問題やアドバイスなどを良くすることについてどう思いますか?",みんなやその家族が、学校でコンピュータを使って勉強した小学校から中学校までを記録したデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,みんなやその家族が、学校でコンピュータを使って勉強した小学校から大人になってからまでの一生の記録のデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,国がコンピュータを使って、みんなの小学校から中学校までの勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,国がコンピュータを使って、みんなの小学校から大人になってからの学びも含(ふく)めた一生の勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,学校が、顔の動画を分析(ぶんせき)できるコンピュータを使って、みんなの眼の動きを調べて、授業に集中できていない子、なやんでいる子を見つけて、相談にのることについてどう思いますか?
168,2025-02-12 15:17:11,2025-02-12 15:21:47,anonymous,,西京高等学校,高校1年生,高等学校,3/10,1週間に数回程度,算数・数学;外国語;,使いこなすことができた,マーカー;タイマー;,ほとんど使ったことがない;,頻繁（ひんぱん）に使用している,あまり使用しない,使用することがある,使用することがある,あまり使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あてはまる,あまりあてはまらない,bookrollがすぐにタイムアウトになって何度も入りなおさなければいけなくなるのをどうにかしてほしい。,3.0,5.0,0.0,0.0,0.5,賛成である,強く賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,反対である
169,2025-02-12 15:17:42,2025-02-12 15:21:50,anonymous,,西京高等学校,高校1年生,高等学校,0/8,ほぼ毎時間,外国語;,使いこなすことができた,マーカー;クイズ;,マーカー分析（ぶんせき）;,頻繁（ひんぱん）に使用している,あまり使用しない,あまり使用しない,あまり使用しない,使用することがある,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,少しあてはまる,,2.0,2.0,3.0,0.0,0.0,どちらかというと賛成である,賛成である,どちらかというと賛成である,賛成である,質問の意味がわからない,どちらかというと反対である,反対である,質問の意味がわからない,どちらかというと賛成である,どちらかというと賛成である
170,2025-02-12 15:15:14,2025-02-12 15:22:05,anonymous,,西京高等学校,高校1年生,高等学校,1/0,1週間に数回程度,外国語;,使いこなすことができた,メモ;マーカー;クイズ;URLリコメンド;タイマー;,マーカー分析（ぶんせき）;メモ分析（ぶんせき）;クイズ集計;AIエージェント（AI先生・Tammy等）;,使用することがある,使用することがある,あまり使用しない,使用することがある,使用することがある,少しあてはまる,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,少しあてはまる,あてはまる,あてはまる,あまりあてはまらない,少しあてはまる,エイブリーなどをクラス（40人ほど）で一斉に使用し、送信したときに、あまりにも長い処理時間を要していたので、もうすこしすんなり送信できるかつ、大人数でも取り組めるようなキャパにしてほしいと感じました。,14.0,19.0,5.0,1.0,0.2,賛成である,強く賛成である,強く賛成である,賛成である,強く賛成である,強く賛成である,賛成である,強く賛成である,強く賛成である,強く賛成である
171,2025-02-12 15:17:00,2025-02-12 15:22:06,anonymous,,西京高等学校,高校1年生,高等学校,0/11,1週間に数回程度,算数・数学;社会;,使いこなすことができた,メモ;マーカー;手書き;URLリコメンド;,クイズ集計;マーカー分析（ぶんせき）;,頻繁（ひんぱん）に使用している,頻繁（ひんぱん）に使用している,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,あてはまる,あてはまる,あてはまる,あてはまる,あてはまる,あまりあてはまらない,あてはまる,あまりあてはまらない,あまりあてはまらない,,10.0,2.0,4.0,1.0,1.0,どちらかというと賛成である,強く賛成である,どちらかというと賛成である,強く賛成である,強く賛成である,どちらかというと賛成である,どちらかというと賛成である,強く賛成である,どちらかというと賛成である,どちらかというと反対である
172,2025-02-12 15:17:59,2025-02-12 15:22:10,anonymous,,西京高等学校,高校1年生,高等学校,9,1ヶ月に数回程度,外国語;,使いこなすことができた,メモ;マーカー;クイズ;URLリコメンド;タイマー;,マーカー分析（ぶんせき）;閲覧（えつらん）時間集計;クイズ集計;ワードクラウド;,頻繁（ひんぱん）に使用している,使用することがある,あまり使用しない,あまり使用しない,使用することがある,あてはまる,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,あてはまる,あてはまる,あまりあてはまらない,少しあてはまる,あてはまる,たまにページサイズの変更ができなくなるのでそれだけ不便です。携帯で使うときによくなります。,5.0,3.0,1.0,1.0,0.0,どちらかというと賛成である,賛成である,強く賛成である,強く賛成である,賛成である,反対である,反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である
173,2025-02-12 15:17:20,2025-02-12 15:22:11,anonymous,,西京高等学校,高校1年生,高等学校,10,ほぼ毎時間,外国語;,あまり使いこなすことができなかった,マーカー;URLリコメンド;タイマー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,,1.0,3.0,2.0,0.0,0.0,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと反対である
174,2025-02-12 15:17:37,2025-02-12 15:22:12,anonymous,,西京中学校,高校1年生,高等学校,1/0,ほぼ毎時間,外国語;,使いこなすことができた,メモ;マーカー;クイズ;タイマー;,ほとんど使ったことがない;,あまり使用しない,あまり使用しない,使用することがある,使用することがある,使用することがある,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,Averyが楽しかったです,1.0,3.0,15.0,3.0,0.0,賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
175,2025-02-12 15:17:52,2025-02-12 15:22:20,anonymous,,さいきょう,高校1年生,高等学校,１０っかげつ,ほとんど使用していない,算数・数学;,あまり使いこなすことができなかった,ほとんど使ったことがない;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あてはまらない,あまりあてはまらない,さくしーどのかいとうをみるためにつかう,2.0,0.0,2.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である
176,2025-02-12 15:19:34,2025-02-12 15:22:23,anonymous,,西京高等学校,高校1年生,高等学校,0/0,ほとんど使用していない,算数・数学;,システムそのものがよくわからない,手書き;,ワードクラウド;,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,0.0,0.0,40.0,3.0,1.0,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない
177,2025-02-12 15:18:00,2025-02-12 15:22:24,anonymous,,西京高等学校,高校1年生,高等学校,4/0,1ヶ月に数回程度,外国語;,あまり使いこなすことができなかった,URLリコメンド;マーカー;,ほとんど使ったことがない;,頻繁（ひんぱん）に使用している,あまり使用しない,使用することがある,あまり使用しない,あまり使用しない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,,7.0,3.0,3.0,0.0,0.0,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である
178,2025-02-12 15:19:18,2025-02-12 15:22:26,anonymous,,西京高等学校,高校1年生,高等学校,0/0,ほとんど使用していない,外国語;,使いこなすことができた,ほとんど使ったことがない;URLリコメンド;,ほとんど使ったことがない;,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,少しあてはまる,少しあてはまる,,0.0,0.0,3.0,0.0,0.0,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,反対である,どちらかというと賛成である,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと反対である
179,2025-02-12 15:16:12,2025-02-12 15:22:32,anonymous,,西京高等学校,高校1年生,高等学校,0/1,ほとんど使用していない,外国語;,使いこなすことができた,マーカー;URLリコメンド;,ほとんど使ったことがない;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,使用することがある,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,bookrollはいい感じに使えてきたけど，普通の授業とあまり変わらない,3.0,2.0,5.0,1.0,0.0,賛成である,どちらかというと賛成である,反対である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,反対である
180,2025-02-12 15:16:16,2025-02-12 15:22:38,anonymous,,西京高等学校,高校1年生,高等学校,3/11,1週間に数回程度,外国語;算数・数学;,使いこなすことができた,マーカー;,ほとんど使ったことがない;,使用することがある,あまり使用しない,全く使用しない,全く使用しない,あまり使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,,8.0,2.0,0.0,0.0,0.0,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと反対である
181,2025-02-12 15:17:52,2025-02-12 15:22:40,anonymous,,西京高等学校,高校1年生,高等学校,3/10,1週間に数回程度,算数・数学;外国語;,使いこなすことができた,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,使用することがある,使用することがある,全く使用しない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あてはまらない,少しあてはまる,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あまりあてはまらない,,3.0,0.0,8.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である
182,2025-02-12 15:16:43,2025-02-12 15:23:09,anonymous,,西京高等学校,高校1年生,高等学校,０/10,1週間に数回程度,外国語;,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,bookrollで教材を見ている途中に画面が固まること何度かあったので不便だった。,0.0,0.0,0.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,どちらかというと賛成である
183,2025-02-12 15:17:49,2025-02-12 15:23:11,anonymous,,西京高等学校,高校1年生,高等学校,3/10,1週間に数回程度,外国語;,とてもうまく使いこなすことができた,マーカー;クイズ;URLリコメンド;タイマー;メモ;,マーカー分析（ぶんせき）;ワードクラウド;,頻繁（ひんぱん）に使用している,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,少しあてはまる,あてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,メモなどの動きがどんどん早くなっていて改良されているんだなと感じます,5.0,5.0,0.0,1.0,0.0,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,どちらかというと反対である
184,2025-02-12 15:17:12,2025-02-12 15:23:11,anonymous,,西京高等学校,高校1年生,高等学校,3/11,1週間に数回程度,算数・数学;外国語;,使いこなすことができた,メモ;マーカー;,ほとんど使ったことがない;,頻繁（ひんぱん）に使用している,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,,10.0,4.0,0.0,0.5,1.0,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
185,2025-02-12 15:17:08,2025-02-12 15:23:12,anonymous,,西京高等学校,高校1年生,高等学校,0/10,1週間に数回程度,外国語;,使いこなすことができた,URLリコメンド;クイズ;手書き;マーカー;,ほとんど使ったことがない;,使用することがある,あまり使用しない,使用することがある,あまり使用しない,全く使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あてはまる,,7.0,3.0,2.0,0.0,1.0,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと反対である
186,2025-02-12 15:17:44,2025-02-12 15:23:12,anonymous,,西京高等学校,高校1年生,高等学校,4/6,ほぼ毎時間,算数・数学;外国語;,とてもうまく使いこなすことができた,メモ;,ほとんど使ったことがない;,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,使用することがある,あてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,,1.0,3.0,15.0,0.0,0.0,反対である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である
187,2025-02-12 15:17:34,2025-02-12 15:23:22,anonymous,,西京高等学校,高校1年生,高等学校,0/10,1週間に数回程度,外国語;算数・数学;,使いこなすことができた,マーカー;辞書;,マーカー分析（ぶんせき）;,頻繁（ひんぱん）に使用している,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あてはまる,あてはまる,あまりあてはまらない,少しあてはまる,あてはまる,あまりあてはまらない,あてはまらない,少しあてはまる,あてはまる,あてはまる,デジタル上で多数の教材を見ることができるのはとても便利。すぐにタイムアウトしてしまうのが不便。,4.0,2.0,0.0,2.0,0.0,賛成である,強く賛成である,賛成である,どちらかというと賛成である,賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,反対である
188,2025-02-12 15:16:34,2025-02-12 15:23:25,anonymous,,西京高等学校,高校1年生,高等学校,11,ほぼ毎時間,外国語;,使いこなすことができた,マーカー;クイズ;URLリコメンド;,マーカー分析（ぶんせき）;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,あてはまらない,あまりあてはまらない,少しあてはまる,,2.0,1.0,0.0,0.0,0.0,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である,どちらかというと賛成である,どちらかというと反対である,どちらかというと反対である
189,2025-02-12 15:16:58,2025-02-12 15:23:38,anonymous,,西京高等学校,高校1年生,高等学校,0/8,ほぼ毎時間,算数・数学;外国語;,使いこなすことができた,マーカー;URLリコメンド;,閲覧（えつらん）時間集計;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,,3.0,8.0,1.0,2.0,2.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である
190,2025-02-12 15:17:54,2025-02-12 15:24:05,anonymous,,西京高等学校,高校1年生,高等学校,1/0,1ヶ月に数回程度,外国語;,使いこなすことができた,マーカー;URLリコメンド;クイズ;タイマー;,理解度チェックダッシュボード;AIエージェント（AI先生・Tammy等）;,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,あまり使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,教科書を毎回開いたり、そこに書き込んだりする必要がなくて便利,2.0,1.0,0.0,0.0,0.5,賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと反対である
191,2025-02-12 15:16:48,2025-02-12 15:24:07,anonymous,,西京高等学校,高校1年生,高等学校,0/11,1ヶ月に数回程度,外国語;,使いこなすことができた,マーカー;クイズ;URLリコメンド;タイマー;,マーカー分析（ぶんせき）;,使用することがある,全く使用しない,使用することがある,使用することがある,あまり使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,,3.0,4.0,4.0,0.0,0.0,どちらかというと反対である,賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと反対である,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である
192,2025-02-12 15:20:34,2025-02-12 15:24:10,anonymous,,西京高等学校,高校1年生,高等学校,0/2,1週間に数回程度,算数・数学;外国語;,あまり使いこなすことができなかった,マーカー;,マーカー分析（ぶんせき）;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,,3.0,5.0,1.0,0.5,0.5,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である
193,2025-02-12 15:18:08,2025-02-12 15:24:17,anonymous,,西京高等学校,高校1年生,高等学校,0/11,1週間に数回程度,算数・数学;外国語;,使いこなすことができた,マーカー;手書き;URLリコメンド;クイズ;タイマー;,マーカー分析（ぶんせき）;,頻繁（ひんぱん）に使用している,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,少しあてはまる,あまりあてはまらない,あてはまる,あてはまる,あてはまる,少しあてはまる,,5.0,5.0,0.0,0.0,0.0,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
194,2025-02-12 15:18:16,2025-02-12 15:24:20,anonymous,,西京高等学校,高校1年生,高等学校,0/11,1週間に数回程度,算数・数学;外国語;,とてもうまく使いこなすことができた,マーカー;URLリコメンド;,ほとんど使ったことがない;,頻繁（ひんぱん）に使用している,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あてはまる,あてはまる,あまりあてはまらない,少しあてはまる,あてはまる,あまりあてはまらない,あてはまる,少しあてはまる,少しあてはまる,あてはまる,重いチャートやサクシードを家に持ち帰る必要もなく、丁寧な解答が見られるのでよく使っています。,3.0,3.0,0.0,0.0,1.0,強く賛成である,強く賛成である,どちらかというと賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,反対である
195,2025-02-12 15:15:48,2025-02-12 15:24:43,anonymous,,西京高等学校,高校1年生,高等学校,3/10,1週間に数回程度,外国語;,使いこなすことができた,URLリコメンド;メモ;マーカー;タイマー;,AI推薦（すいせん）;,使用することがある,あまり使用しない,全く使用しない,全く使用しない,使用することがある,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,少しあてはまる,少しあてはまる,,7.0,5.0,1.0,1.0,1.0,どちらかというと賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと反対である
196,2025-02-12 15:14:51,2025-02-12 15:24:52,anonymous,,西京高等学校,高校1年生,高等学校,4/2,1ヶ月に数回程度,算数・数学;外国語;,あまり使いこなすことができなかった,メモ;マーカー;手書き;URLリコメンド;,マーカー分析（ぶんせき）;メモ分析（ぶんせき）;AI推薦（すいせん）;,使用することがある,使用することがある,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,あてはまる,あまりあてはまらない,,6.0,10.0,3.0,19.0,20.0,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である
197,2025-02-12 15:19:24,2025-02-12 15:25:16,anonymous,,西京高等学校,高校1年生,高等学校,0/10,ほとんど使用していない,外国語;,あまり使いこなすことができなかった,マーカー;URLリコメンド;タイマー;メモ;,マーカー分析（ぶんせき）;クイズ集計;,使用することがある,全く使用しない,あまり使用しない,あまり使用しない,全く使用しない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,使っていない,あてはまらない,あてはまらない,パソコンがあまりわからないので使いずらい,10.0,1.0,16.0,0.0,1.0,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと賛成である,反対である,どちらかというと反対である,反対である,どちらかというと賛成である,強く反対である
198,2025-02-12 15:17:46,2025-02-12 15:26:08,anonymous,,西京高等学校,高校1年生,高等学校,1/0,1週間に数回程度,外国語;,使いこなすことができた,マーカー;クイズ;URLリコメンド;タイマー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あてはまらない,あまりあてはまらない,LEAFシステムを使用することの利点があまり明確でない,5.0,10.0,15.0,1.0,1.0,賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,賛成である,強く賛成である,強く賛成である
199,2025-02-12 15:19:13,2025-02-12 15:26:09,anonymous,,西京高等学校,高校1年生,高等学校,3/10,ほぼ毎時間,算数・数学;外国語;,とてもうまく使いこなすことができた,URLリコメンド;タイマー;メモ;,閲覧（えつらん）時間集計;AI推薦（すいせん）;,頻繁（ひんぱん）に使用している,あまり使用しない,あまり使用しない,あまり使用しない,使用することがある,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,Bookrollが使いにくいという印象が強い少し放っておくとタイムアウトすることが多々ありページを移動するときの速度が遅いといった問題点があると感じる。,6.0,9.0,21.0,2.0,0.0,強く賛成である,強く賛成である,賛成である,賛成である,強く賛成である,強く賛成である,賛成である,賛成である,賛成である,賛成である
200,2025-02-12 15:18:25,2025-02-12 15:26:24,anonymous,,西京高等学校,高校1年生,高等学校,0/10,1ヶ月に数回程度,外国語;算数・数学;,使いこなすことができた,ほとんど使ったことがない;,ほとんど使ったことがない;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,あてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,便利かも,3.0,0.0,0.0,0.0,0.0,反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である
201,2025-02-12 15:21:40,2025-02-12 15:26:24,anonymous,,西京高等学校,高校3年生,高等学校,4/0,1週間に数回程度,算数・数学;,あまり使いこなすことができなかった,ほとんど使ったことがない;,ほとんど使ったことがない;,使用することがある,質問の意味がわからない,質問の意味がわからない,全く使用しない,全く使用しない,あまりあてはまらない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,,7.0,0.0,7.0,0.0,0.0,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である
